feature,split,gain,gain_percent
sales_rolling_7,604,255539.01472568512,46.06573484182243
sales_lag_7,403,62564.63793897629,11.278457909315156
temp_avg_c,548,48997.269409418106,8.83268342804925
is_weekend,154,47183.02418136597,8.50563145243133
rain_mm,213,30197.219104528427,5.443619205164764
living_population_avg,486,22174.679130792618,3.99740481952681
is_event,85,21359.068294525146,3.8503755584257346
sales_lag_1,367,19326.058359622955,3.483887111671221
menu_김치찌개,92,18952.542343616486,3.4165537936219263
day_of_week_Friday,84,9687.912989377975,1.7464293325948863
menu_냉면,60,6250.763634681702,1.126818229550022
menu_제육볶음,34,4946.561496734619,0.8917111562473342
month,37,2680.0665378570557,0.48313262310999616
day_of_week_Saturday,8,1842.588981628418,0.3321614726474357
menu_된장찌개,42,1193.7873177528381,0.2152027160947066
day_of_week_Monday,16,963.0848999023438,0.17361424703264758
day_of_week_Wednesday,12,292.3532404899597,0.05270219450057372
day_of_week_Sunday,8,269.8844985961914,0.048651779312823364
day_of_week_Tuesday,6,228.0760955810547,0.04111502485862473
day_of_week_Thursday,7,78.28918194770813,0.014113104022326095
pop_index,0,0.0,0.0
